date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:17	33/33	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2004:58:18%20GMT	https://game4ou.xyz/robots.txt		(from )
11:58:17	52609/52609	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2004:58:18%20GMT	https://game4ou.xyz/simcity/	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/game4ou.xyz/simcity/index.html	(from )
11:58:17	67961/67961	---M-Z	200	added ('OK')	application/javascript	etag:%2242639cce5db857005b8285dedd67553d%22	https://browser.sentry-cdn.com/6.4.1/bundle.min.js	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/browser.sentry-cdn.com/6.4.1/bundle.min.js	(from https://game4ou.xyz/simcity/)
11:58:18	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/www.google-analytics.com/analytics.js	(from https://game4ou.xyz/simcity/)
11:58:18	68159/68159	---M--	200	added ('OK')	image/png	etag:%225018588e1d2b8a597b4e5b8cd5017a69%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1490966739648b55dd28aaf047380437148d2ab773.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/d13pxqgp3ixdbh.cloudfront.net/uploads/1490966739648b55dd28aaf047380437148d2ab773.png	(from https://game4ou.xyz/simcity/)
11:58:18	23148/23148	---M--	200	added ('OK')	image/png	etag:%22d704b47b0614c1676bc86fc5b40e07e7%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1642599791a60f1535489642e8647ce0aface76d2a.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/d13pxqgp3ixdbh.cloudfront.net/uploads/1642599791a60f1535489642e8647ce0aface76d2a.png	(from https://game4ou.xyz/simcity/)
11:58:19	1089/1089	---M--	200	added ('OK')	image/png	etag:%22b9c9b7d8b492776e5b415b6430857db6%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16425962814773fd277b7b0a85fc2c09a41bd7b800.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/d13pxqgp3ixdbh.cloudfront.net/uploads/16425962814773fd277b7b0a85fc2c09a41bd7b800.png	(from https://game4ou.xyz/simcity/)
11:58:19	106438/106438	---M--	200	added ('OK')	image/png	etag:%228259f94544fb178898847b28a9f86344%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16425978810d7d51d8a3f18fb9ead9ee8fc2680a0a.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/d13pxqgp3ixdbh.cloudfront.net/uploads/16425978810d7d51d8a3f18fb9ead9ee8fc2680a0a.png	(from https://game4ou.xyz/simcity/)
11:58:19	27579/27579	---M--	200	added ('OK')	image/png	etag:%22de312aa767116cdeb3aa06ea8893ecf2%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16425976685eecca255525a57c0c52aac367ee4d96.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/d13pxqgp3ixdbh.cloudfront.net/uploads/16425976685eecca255525a57c0c52aac367ee4d96.png	(from https://game4ou.xyz/simcity/)
11:58:19	711/711	---M--	200	added ('OK')	image/png	etag:%229e1592cb5898e923d756964fb25bdaa6%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1642596281297aa0b9d971870308f35efc5dd8f734.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/d13pxqgp3ixdbh.cloudfront.net/uploads/1642596281297aa0b9d971870308f35efc5dd8f734.png	(from https://game4ou.xyz/simcity/)
11:58:19	153996/153996	---M--	200	added ('OK')	image/png	etag:%2278187fe56e5271ab5e489d00f597124a%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16425989072fc8ed97461b77bf12569459468d12a8.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/d13pxqgp3ixdbh.cloudfront.net/uploads/16425989072fc8ed97461b77bf12569459468d12a8.png	(from https://game4ou.xyz/simcity/)
11:58:20	44576/44576	---M--	200	added ('OK')	image/png	etag:%2276951fafd761d0b32436d200c0b85aeb%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1644235522ab145dc3a85b850cba0afdb319f284e1.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/d13pxqgp3ixdbh.cloudfront.net/uploads/1644235522ab145dc3a85b850cba0afdb319f284e1.png	(from https://game4ou.xyz/simcity/)
11:58:20	48502/48502	---M--	200	added ('OK')	image/png	etag:%222c6d36b17d3872ff7f909474d77f075d%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16426790659414628850f860edff29f151c9d4f880.png	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/d13pxqgp3ixdbh.cloudfront.net/uploads/16426790659414628850f860edff29f151c9d4f880.png	(from https://game4ou.xyz/simcity/)
11:58:20	50587/50587	---M--	200	added ('OK')	image/gif	etag:%2231cdfb1e7dda6fc83c12a2ee24119d30%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/163542468278c021e06cc778d4aef36f80e47413a2.gif	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/d13pxqgp3ixdbh.cloudfront.net/uploads/163542468278c021e06cc778d4aef36f80e47413a2.gif	(from https://game4ou.xyz/simcity/)
11:58:21	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://game4ou.xyz/simcity/)
11:58:22	23438/23438	---MCZ	200	added ('OK')	application/javascript	etag:W/%226863f6e390060c097da580136d1dcaf2%22	https://d12u7tum9sda5e.cloudfront.net/b7f1038.js	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/d12u7tum9sda5e.cloudfront.net/b7f1038.js	(from https://game4ou.xyz/simcity/)
11:58:23	13/13	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2004:58:24%20GMT	https://game4ou.xyz/simcity/customTemplateGlobal.set	C:/Users/sokra/OneDrive/Desktop/CPA/Httrack/Simcity/game4ou.xyz/simcity/customTemplateGlobal.html	(from https://game4ou.xyz/simcity/)
